source,hour_index,time,k,requested_fraction,recent_resources,min_recent_resources_selected,max_recent_resources_selected
hourly,42,2026-06-17 18:00:00+00:00,12,0.5,24,0,0
hourly,42,2026-06-17 18:00:00+00:00,24,1.0,24,1,1
hourly,43,2026-06-17 19:00:00+00:00,3,0.1,26,0,0
hourly,43,2026-06-17 19:00:00+00:00,7,0.25,26,0,0
hourly,43,2026-06-17 19:00:00+00:00,13,0.5,26,0,1
hourly,43,2026-06-17 19:00:00+00:00,26,1.0,26,2,2
hourly,44,2026-06-17 20:00:00+00:00,4,0.1,31,0,0
hourly,44,2026-06-17 20:00:00+00:00,8,0.25,31,1,1
hourly,44,2026-06-17 20:00:00+00:00,16,0.5,31,1,1
hourly,44,2026-06-17 20:00:00+00:00,31,1.0,31,3,3
hourly,45,2026-06-17 21:00:00+00:00,4,0.1,33,0,0
hourly,45,2026-06-17 21:00:00+00:00,9,0.25,33,1,1
hourly,45,2026-06-17 21:00:00+00:00,17,0.5,33,1,1
hourly,45,2026-06-17 21:00:00+00:00,33,1.0,33,3,5
hourly,46,2026-06-17 22:00:00+00:00,4,0.1,32,1,1
hourly,46,2026-06-17 22:00:00+00:00,8,0.25,32,1,1
hourly,46,2026-06-17 22:00:00+00:00,16,0.5,32,1,1
hourly,46,2026-06-17 22:00:00+00:00,32,1.0,32,6,7
hourly,47,2026-06-17 23:00:00+00:00,3,0.1,21,0,0
hourly,47,2026-06-17 23:00:00+00:00,6,0.25,21,1,1
hourly,47,2026-06-17 23:00:00+00:00,11,0.5,21,1,1
hourly,47,2026-06-17 23:00:00+00:00,21,1.0,21,4,5
hourly,48,2026-06-18 00:00:00+00:00,2,0.1,16,0,0
hourly,48,2026-06-18 00:00:00+00:00,4,0.25,16,1,1
hourly,48,2026-06-18 00:00:00+00:00,8,0.5,16,1,1
hourly,48,2026-06-18 00:00:00+00:00,16,1.0,16,5,5
hourly,49,2026-06-18 01:00:00+00:00,2,0.1,13,0,0
hourly,49,2026-06-18 01:00:00+00:00,4,0.25,13,1,1
hourly,49,2026-06-18 01:00:00+00:00,7,0.5,13,1,1
hourly,49,2026-06-18 01:00:00+00:00,13,1.0,13,3,3
hourly,50,2026-06-18 02:00:00+00:00,2,0.1,11,0,0
hourly,50,2026-06-18 02:00:00+00:00,3,0.25,11,0,0
hourly,50,2026-06-18 02:00:00+00:00,6,0.5,11,0,0
hourly,50,2026-06-18 02:00:00+00:00,11,1.0,11,2,3
hourly,51,2026-06-18 03:00:00+00:00,1,0.1,10,0,0
hourly,51,2026-06-18 03:00:00+00:00,3,0.25,10,0,0
hourly,51,2026-06-18 03:00:00+00:00,5,0.5,10,1,1
hourly,51,2026-06-18 03:00:00+00:00,10,1.0,10,3,4
hourly,52,2026-06-18 04:00:00+00:00,1,0.1,6,0,0
hourly,52,2026-06-18 04:00:00+00:00,2,0.25,6,0,0
