k,policy,largest_label_component,R,subsets,total_subsets,probability
12,uniform,5,0.18518518518518517,3780,18564,0.20361990950226244
12,uniform,6,0.2222222222222222,1127,18564,0.06070889894419306
12,uniform,7,0.25925925925925924,60,18564,0.003232062055591467
12,uniform,8,0.2962962962962963,1,18564,5.3867700926524454e-05
12,degree_ties,2,0.07407407407407407,219,3003,0.07292707292707293
12,degree_ties,3,0.1111111111111111,1490,3003,0.4961704961704962
12,degree_ties,4,0.14814814814814814,1105,3003,0.36796536796536794
12,degree_ties,5,0.18518518518518517,180,3003,0.059940059940059943
12,degree_ties,6,0.2222222222222222,9,3003,0.002997002997002997
13,uniform,2,0.07407407407407407,366,8568,0.042717086834733894
13,uniform,3,0.1111111111111111,4534,8568,0.5291783380018674
13,uniform,4,0.14814814814814814,2272,8568,0.26517273576097106
13,uniform,5,0.18518518518518517,1165,8568,0.13597105508870214
13,uniform,6,0.2222222222222222,226,8568,0.026377217553688142
13,uniform,7,0.25925925925925924,5,8568,0.0005835667600373483
13,degree_ties,2,0.07407407407407407,366,2002,0.18281718281718282
13,degree_ties,3,0.1111111111111111,1130,2002,0.5644355644355644
13,degree_ties,4,0.14814814814814814,460,2002,0.22977022977022976
13,degree_ties,5,0.18518518518518517,45,2002,0.022477522477522476
13,degree_ties,6,0.2222222222222222,1,2002,0.0004995004995004995
14,uniform,2,0.07407407407407407,365,3060,0.119281045751634
14,uniform,3,0.1111111111111111,1866,3060,0.6098039215686275
14,uniform,4,0.14814814814814814,574,3060,0.18758169934640523
14,uniform,5,0.18518518518518517,230,3060,0.07516339869281045
14,uniform,6,0.2222222222222222,25,3060,0.008169934640522876
14,degree_ties,2,0.07407407407407407,365,1001,0.3646353646353646
14,degree_ties,3,0.1111111111111111,520,1001,0.5194805194805194
14,degree_ties,4,0.14814814814814814,111,1001,0.1108891108891109
14,degree_ties,5,0.18518518518518517,5,1001,0.004995004995004995
15,uniform,2,0.07407407407407407,220,816,0.2696078431372549
15,uniform,3,0.1111111111111111,483,816,0.5919117647058824
15,uniform,4,0.14814814814814814,87,816,0.10661764705882353
15,uniform,5,0.18518518518518517,25,816,0.030637254901960783
15,uniform,6,0.2222222222222222,1,816,0.0012254901960784314
15,degree_ties,2,0.07407407407407407,220,364,0.6043956043956044
15,degree_ties,3,0.1111111111111111,132,364,0.3626373626373626
15,degree_ties,4,0.14814814814814814,12,364,0.03296703296703297
16,uniform,2,0.07407407407407407,77,153,0.5032679738562091
16,uniform,3,0.1111111111111111,69,153,0.45098039215686275
16,uniform,4,0.14814814814814814,6,153,0.0392156862745098
16,uniform,5,0.18518518518518517,1,153,0.006535947712418301
16,degree_ties,2,0.07407407407407407,77,91,0.8461538461538461
16,degree_ties,3,0.1111111111111111,14,91,0.15384615384615385
17,uniform,2,0.07407407407407407,14,18,0.7777777777777778
17,uniform,3,0.1111111111111111,4,18,0.2222222222222222
17,degree_ties,2,0.07407407407407407,14,14,1.0
18,uniform,1,0.037037037037037035,1,1,1.0
18,degree_ties,1,0.037037037037037035,1,1,1.0
