hour_index,time,requested_fraction_of_recent_resources,k,older_candidates,recent_resources,recent_labels,R6_0,Q6_recent_degree,Q6_older_degree,Q6_uniform_median,Q6_uniform_p05,Q6_uniform_p95,Q6_older_ties_p05,Q6_older_ties_median,Q6_older_ties_p95,Q6_recent_ties_p05,Q6_recent_ties_p95,recent_resources_selected_by_older_degree,recent_resource_coverage_older_degree,recent_resource_coverage_recent_degree,recent_resource_coverage_uniform_median,recent_resource_coverage_older_ties_p05,recent_resource_coverage_older_ties_p95,fraction_older_degree_actions_outside_recent
21,2026-06-16 21:00:00+00:00,0.5,63,160,126,428,0.9462616822429907,0.04197530864197531,0.04691358024691358,0.7123456790123457,0.6024691358024692,0.8050617283950616,0.03209876543209877,0.056790123456790124,0.0791358024691357,0.03209876543209877,0.06172839506172839,58,0.4603174603174603,0.5,0.3968253968253968,0.4444444444444444,0.46825396825396826,0.07936507936507942
21,2026-06-16 21:00:00+00:00,1.0,126,160,126,428,0.9462616822429907,0.0024691358024691358,0.012345679012345678,0.26296296296296295,0.08888888888888889,0.4024691358024691,0.007407407407407408,0.007407407407407408,0.012345679012345678,0.0024691358024691358,0.0024691358024691358,103,0.8174603174603174,1.0,0.7857142857142857,0.7936507936507936,0.8412698412698413,0.18253968253968256
22,2026-06-16 22:00:00+00:00,0.1,18,213,180,508,0.9704724409448819,0.6592292089249493,0.6632860040567952,0.949290060851927,0.9087221095334685,0.9797160243407708,0.6511156186612576,0.6511156186612576,0.6632860040567952,0.6490872210953347,0.6592292089249493,18,0.1,0.1,0.08333333333333333,0.1,0.1,0.0
22,2026-06-16 22:00:00+00:00,0.25,45,213,180,508,0.9704724409448819,0.2799188640973631,0.3103448275862069,0.8661257606490872,0.795131845841785,0.9148073022312373,0.30425963488843816,0.3184584178498986,0.32454361054766734,0.2535496957403651,0.3022312373225152,45,0.25,0.25,0.2111111111111111,0.24444444444444444,0.25,0.0
22,2026-06-16 22:00:00+00:00,0.5,90,213,180,508,0.9704724409448819,0.06693711967545639,0.04462474645030426,0.7058823529411765,0.6124746450304259,0.7790060851926977,0.030425963488843813,0.04462474645030426,0.04462474645030426,0.02636916835699797,0.07910750507099391,83,0.46111111111111114,0.5,0.4222222222222222,0.45555555555555555,0.46111111111111114,0.07777777777777772
22,2026-06-16 22:00:00+00:00,1.0,180,213,180,508,0.9704724409448819,0.002028397565922921,0.012170385395537525,0.20689655172413793,0.06490872210953347,0.3429006085192697,0.006085192697768763,0.008113590263691683,0.010141987829614604,0.002028397565922921,0.002028397565922921,156,0.8666666666666667,1.0,0.8444444444444444,0.8444444444444444,0.8777777777777778,0.1333333333333333
23,2026-06-16 23:00:00+00:00,0.1,21,237,205,538,0.9721189591078067,0.6787762906309751,0.6596558317399618,0.9541108986615678,0.9158699808795411,0.9808795411089866,0.6596558317399618,0.6596558317399618,0.6596558317399618,0.6768642447418738,0.6787762906309751,21,0.1024390243902439,0.1024390243902439,0.08780487804878048,0.1024390243902439,0.1024390243902439,0.0
23,2026-06-16 23:00:00+00:00,0.25,52,237,205,538,0.9721189591078067,0.34608030592734224,0.372848948374761,0.872848948374761,0.8125239005736138,0.9196940726577438,0.3632887189292543,0.367112810707457,0.37667304015296366,0.32887189292543023,0.35181644359464626,51,0.24878048780487805,0.25365853658536586,0.21951219512195122,0.24878048780487805,0.25365853658536586,0.019230769230769273
23,2026-06-16 23:00:00+00:00,0.5,103,237,205,538,0.9721189591078067,0.0497131931166348,0.03824091778202677,0.7103250478011472,0.6327915869980879,0.7897705544933078,0.0248565965583174,0.03824091778202677,0.03824091778202677,0.030497131931166353,0.08221797323135756,96,0.4682926829268293,0.5024390243902439,0.43414634146341463,0.4634146341463415,0.4682926829268293,0.06796116504854366
23,2026-06-16 23:00:00+00:00,1.0,205,237,205,538,0.9721189591078067,0.0019120458891013384,0.011472275334608031,0.18738049713193117,0.05927342256214149,0.3231357552581262,0.0057361376673040155,0.0057361376673040155,0.009560229445506692,0.0019120458891013384,0.0019120458891013384,179,0.8731707317073171,1.0,0.8634146341463415,0.8634146341463415,0.8926829268292683,0.12682926829268293
